anio,tipo_eleccion,seccion_id,seccion_nombre,circuito_id,partido_electoral,votos_positivos,total_electores,total_votos_positivos,pct_votos
2011,presidencial,4,Comuna 04,48,Centroderecha,1050,14121,9656,10.87
2011,presidencial,4,Comuna 04,48,Izquierda,336,14121,9656,3.48
2011,presidencial,4,Comuna 04,48,PJ,5885,42363,9656,60.95
2011,presidencial,4,Comuna 04,48,PS,2385,14121,9656,24.7
2011,presidencial,4,Comuna 04,49,Centroderecha,896,12023,8999,9.96
2011,presidencial,4,Comuna 04,49,Izquierda,332,12023,8999,3.69
2011,presidencial,4,Comuna 04,49,PJ,5939,36069,8999,66.0
2011,presidencial,4,Comuna 04,49,PS,1832,12023,8999,20.36
2011,presidencial,4,Comuna 04,50,Centroderecha,1174,14437,10568,11.11
2011,presidencial,4,Comuna 04,50,Izquierda,406,14437,10568,3.84
2011,presidencial,4,Comuna 04,50,PJ,5980,43311,10568,56.59
2011,presidencial,4,Comuna 04,50,PS,3008,14437,10568,28.46
2011,presidencial,4,Comuna 04,51,Centroderecha,778,10064,7548,10.31
2011,presidencial,4,Comuna 04,51,Izquierda,285,10064,7548,3.78
2011,presidencial,4,Comuna 04,51,PJ,4478,30192,7548,59.33
2011,presidencial,4,Comuna 04,51,PS,2007,10064,7548,26.59
2011,presidencial,4,Comuna 04,52,Centroderecha,695,12292,8921,7.79
2011,presidencial,4,Comuna 04,52,Izquierda,303,12292,8921,3.4
2011,presidencial,4,Comuna 04,52,PJ,6623,36876,8921,74.24
2011,presidencial,4,Comuna 04,52,PS,1300,12292,8921,14.57
2011,presidencial,4,Comuna 04,53,Centroderecha,1076,14695,10838,9.93
2011,presidencial,4,Comuna 04,53,Izquierda,354,14695,10838,3.27
2011,presidencial,4,Comuna 04,53,PJ,7634,44085,10838,70.44
2011,presidencial,4,Comuna 04,53,PS,1774,14695,10838,16.37
2011,presidencial,4,Comuna 04,54,Centroderecha,1018,13652,10186,9.99
2011,presidencial,4,Comuna 04,54,Izquierda,383,13652,10186,3.76
2011,presidencial,4,Comuna 04,54,PJ,6379,40956,10186,62.63
2011,presidencial,4,Comuna 04,54,PS,2406,13652,10186,23.62
2011,presidencial,4,Comuna 04,55,Centroderecha,671,9493,7222,9.29
2011,presidencial,4,Comuna 04,55,Izquierda,251,9493,7222,3.48
2011,presidencial,4,Comuna 04,55,PJ,5065,28479,7222,70.13
2011,presidencial,4,Comuna 04,55,PS,1235,9493,7222,17.1
2011,presidencial,4,Comuna 04,56,Centroderecha,597,9164,6503,9.18
2011,presidencial,4,Comuna 04,56,Izquierda,195,9164,6503,3.0
2011,presidencial,4,Comuna 04,56,PJ,4586,27492,6503,70.52
2011,presidencial,4,Comuna 04,56,PS,1125,9164,6503,17.3
2011,presidencial,4,Comuna 04,57,Centroderecha,1415,18846,14086,10.05
2011,presidencial,4,Comuna 04,57,Izquierda,531,18846,14086,3.77
2011,presidencial,4,Comuna 04,57,PJ,9021,56538,14086,64.04
2011,presidencial,4,Comuna 04,57,PS,3119,18846,14086,22.14
2011,presidencial,5,Comuna 05,58,Centroderecha,966,13433,10285,9.39
2011,presidencial,5,Comuna 05,58,Izquierda,423,13433,10285,4.11
2011,presidencial,5,Comuna 05,58,PJ,6420,40299,10285,62.42
2011,presidencial,5,Comuna 05,58,PS,2476,13433,10285,24.07
2011,presidencial,5,Comuna 05,59,Centroderecha,827,12286,9112,9.08
2011,presidencial,5,Comuna 05,59,Izquierda,375,12286,9112,4.12
2011,presidencial,5,Comuna 05,59,PJ,5629,36858,9112,61.78
2011,presidencial,5,Comuna 05,59,PS,2281,12286,9112,25.03
2011,presidencial,5,Comuna 05,60,Centroderecha,1142,14911,11149,10.24
2011,presidencial,5,Comuna 05,60,Izquierda,454,14911,11149,4.07
2011,presidencial,5,Comuna 05,60,PJ,6546,44733,11149,58.71
2011,presidencial,5,Comuna 05,60,PS,3007,14911,11149,26.97
2011,presidencial,5,Comuna 05,61,Centroderecha,1114,14891,10931,10.19
2011,presidencial,5,Comuna 05,61,Izquierda,372,14891,10931,3.4
2011,presidencial,5,Comuna 05,61,PJ,5825,44673,10931,53.29
2011,presidencial,5,Comuna 05,61,PS,3620,14891,10931,33.12
2011,presidencial,5,Comuna 05,62,Centroderecha,674,9770,7299,9.23
2011,presidencial,5,Comuna 05,62,Izquierda,301,9770,7299,4.12
2011,presidencial,5,Comuna 05,62,PJ,4458,29310,7299,61.08
2011,presidencial,5,Comuna 05,62,PS,1866,9770,7299,25.57
2011,presidencial,5,Comuna 05,63,Centroderecha,1379,19722,14237,9.69
2011,presidencial,5,Comuna 05,63,Izquierda,594,19722,14237,4.17
2011,presidencial,5,Comuna 05,63,PJ,8011,59166,14237,56.27
2011,presidencial,5,Comuna 05,63,PS,4253,19722,14237,29.87
2011,presidencial,5,Comuna 05,64,Centroderecha,1594,21622,15377,10.37
2011,presidencial,5,Comuna 05,64,Izquierda,514,21622,15377,3.34
2011,presidencial,5,Comuna 05,64,PJ,8547,64866,15377,55.58
2011,presidencial,5,Comuna 05,64,PS,4722,21622,15377,30.71
2011,presidencial,5,Comuna 05,65,Centroderecha,987,13516,9680,10.2
