id,nomoficial,nombre_norm,barrio,barrio_par,barrio_imp,comuna,tipo_c,long,geometry,wikidata_id,figura_nombre,partido_madre,tipo_figura,fuente_match
5578,"VICTORICA, BENJAMIN, GENERAL, AV.",BENJAMIN GENERAL VICTORICA,Parque Chas,Parque Chas,Parque Chas,15.0,AVENIDA,56.19835139099557,"LINESTRING (-58.47933755746852 -34.58373271028887, -58.47937358732838 -34.58423841896733)",,,,,
5579,BAUNESS,BAUNESS,Parque Chas,Parque Chas,Parque Chas,15.0,CALLE,104.7575242589676,"LINESTRING (-58.47937358732838 -34.58423841896733, -58.47958066458108 -34.584217053104275, -58.47967577499895 -34.584214223427246, -58.47979344914405 -34.58420815113351, -58.4799099305895 -34.584199050664694, -58.48004233226186 -34.58417734203928, -58.48015310560025 -34.584152960153745, -58.48037320154877 -34.58408947770666, -58.48048082005145 -34.584045025177566)",,,,,
5580,OBISPO SAN ALBERTO,OBISPO SAN ALBERTO,Villa Pueyrredon,Villa Pueyrredon,Villa Pueyrredon,12.0,CALLE,75.20089386194708,"LINESTRING (-58.50851130978273 -34.58383989904688, -58.509171173774504 -34.584241984035)",,,,,
5581,CESPEDES,CESPEDES,Chacarita,Chacarita,Chacarita,15.0,CALLE,119.4168736565816,"LINESTRING (-58.45749632767645 -34.58340298616128, -58.457575761926016 -34.583528555587876, -58.45803364176536 -34.584290768934125, -58.45809838755976 -34.58435500481488)",,,,,
5582,GURRUCHAGA,GURRUCHAGA,Palermo,Palermo,Palermo,14.0,CALLE,146.1778094063596,"LINESTRING (-58.422360112550834 -34.584258104287926, -58.42123500296618 -34.58332516957291)",,,,,
5583,CHARCAS,CHARCAS,Palermo,Palermo,Palermo,14.0,CALLE,87.5202574743559,"LINESTRING (-58.422360112550834 -34.584258104287926, -58.423067782243386 -34.583729104688246)",,,,,
5584,GANDARA,GANDARA,Parque Chas,Parque Chas,Parque Chas,15.0,CALLE,46.21440577340321,"LINESTRING (-58.48214836062111 -34.58401872223061, -58.482552532188365 -34.58426732562706)",,,,,
5585,ANDONAEGUI,ANDONAEGUI,Parque Chas,Parque Chas,Parque Chas,15.0,CALLE,49.00636529352803,"LINESTRING (-58.482552532188365 -34.58426732562706, -58.482938268794086 -34.583961765665954)",,,,,
5586,GODOY CRUZ,GODOY CRUZ,Palermo,Palermo,Palermo,14.0,CALLE,120.265735938189,"LINESTRING (-58.430175302671465 -34.584273504040894, -58.43003529678381 -34.58411381518487, -58.42940625595752 -34.58339560090001)",,,,,
5587,MAURE,MAURE,Chacarita,Chacarita,Chacarita,15.0,CALLE,114.7705611439769,"LINESTRING (-58.45028738661878 -34.58334665478663, -58.45047405895116 -34.58371492070681, -58.45077232996875 -34.584300314442224)",,,,,
5588,ROSETI,ROSETI,Chacarita,Chacarita,Chacarita,15.0,CALLE,103.7648417857003,"LINESTRING (-58.45077232996875 -34.584300314442224, -58.45174734786293 -34.58382638793162)",,,,,
5589,"MISTRAL, GABRIELA",GABRIELA MISTRAL,Villa Pueyrredon,Villa Pueyrredon,Villa Pueyrredon,12.0,CALLE,130.0094171424045,"LINESTRING (-58.49577994145261 -34.58359577771211, -58.49691447999244 -34.58429787761492)",,,,,
5590,"ARTIGAS, JOSE GERVASIO, GRAL.",JOSE GERVASIO ARTIGAS,Villa Pueyrredon,Villa Pueyrredon,Villa Pueyrredon,12.0,CALLE,113.1486643069093,"LINESTRING (-58.49691447999244 -34.58429787761492, -58.497656044959015 -34.58348293802537)",,,,,
5591,VALLEJOS,VALLEJOS,Villa Pueyrredon,Villa Pueyrredon,Villa Pueyrredon,12.0,CALLE,129.893842097304,"LINESTRING (-58.49399337443351 -34.583615606636705, -58.49512721666634 -34.58431673739759)",,,,,
5592,ZAMUDIO,ZAMUDIO,Villa Pueyrredon,Villa Pueyrredon,Villa Pueyrredon,12.0,CALLE,99.91719775737349,"LINESTRING (-58.49512721666634 -34.58431673739759, -58.49577994145261 -34.58359577771211)",,,,,
5593,"DUMONT, SANTOS",SANTOS DUMONT,Chacarita,Chacarita,Chacarita,15.0,CALLE,121.5077713006606,"LINESTRING (-58.44763709025947 -34.583288173360835, -58.44807507151716 -34.584321839153525)",,,,,
5594,CHARLONE,CHARLONE,Chacarita,Chacarita,Chacarita,15.0,CALLE,118.16816674308,"LINESTRING (-58.44807507151716 -34.584321839153525, -58.44921733911666 -34.583829784262846)",,,,,
5595,COMBATIENTES DE MALVINAS AV.,COMBATIENTES DE MALVINAS,,Parque Chas,Villa Ortuzar,,AVENIDA,119.893831444303,"LINESTRING (-58.47246029639526 -34.58432857189267, -58.47298154697394 -34.583337527692734)",,,,,
