circuito_geo_id,partido_madre,partido_electoral,metros_lineales,pct_metros,metros_por_km2,area_km2,pct_votos_promedio,pct_votos_jefe_gobierno,pct_votos_legislativa,pct_votos_presidencial,tasa_nbi_circuito,indice_edu_circuito
55,UCR,Centroderecha,35.72783376279129,1.2,24.0,1.4858,34.6,38.83,38.94,28.14,8.87,4.39
56,Liberalismo,Liberalismo,34.77340581536445,1.36,19.3,1.8039,22.12,18.78,31.15,14.76,8.88,4.58
56,UCR,Centroderecha,2513.5135056118625,98.64,1393.4,1.8039,34.27,38.62,38.49,27.88,8.88,4.58
57,Liberalismo,Liberalismo,402.92046917783955,26.49,239.6,1.6819,21.5,17.56,31.52,13.45,4.55,5.06
57,UCR,Centroderecha,1117.906142155122,73.51,664.7,1.6819,37.36,42.44,41.05,31.12,4.55,5.06
58,Liberalismo,Liberalismo,1707.778198618193,100.0,1623.2,1.0521,19.28,13.91,29.62,11.61,4.58,5.63
59,Liberalismo,Liberalismo,1269.2512862786898,100.0,1525.0,0.8323,18.75,13.18,28.84,11.45,5.09,5.84
6,Liberalismo,Liberalismo,555.3365190551174,36.85,1096.2,0.5066,27.1,12.36,51.72,9.85,1.95,7.34
6,UCR,Centroderecha,951.6991774173703,63.15,1878.6,0.5066,65.4,79.46,62.42,61.34,1.95,7.34
60,Liberalismo,Liberalismo,1072.3470645268058,77.88,1479.5,0.7248,17.51,11.51,28.18,9.83,4.37,6.09
60,UCR,Centroderecha,304.56943034700845,22.12,420.2,0.7248,39.84,46.03,42.6,33.98,4.37,6.09
61,Liberalismo,Liberalismo,1561.0658389385192,73.13,2735.4,0.5707,18.91,12.34,31.56,9.56,3.11,6.62
61,UCR,Centroderecha,573.4974499203404,26.87,1004.9,0.5707,43.85,51.42,45.64,38.27,3.11,6.62
62,Liberalismo,Liberalismo,504.5575317859814,100.0,1048.5,0.4812,18.94,13.47,29.72,10.9,7.43,5.92
63,Liberalismo,Liberalismo,1460.3464055835495,55.11,2125.7,0.687,19.22,13.11,30.95,10.54,6.11,6.2
63,PS,PS,267.80502409809253,10.11,389.8,0.687,9.92,,2.1,17.74,6.11,6.2
63,UCR,Centroderecha,921.818975771739,34.79,1341.8,0.687,42.18,49.72,44.31,36.27,6.11,6.2
64,PJ,PJ,1007.9556022949611,64.59,1511.0,0.6671,35.14,39.83,22.08,45.86,5.92,6.31
64,PS,PS,552.5471354807999,35.41,828.3,0.6671,10.36,,2.22,18.49,5.92,6.31
65,Liberalismo,Liberalismo,771.7590803227926,54.6,1606.8,0.4803,19.46,13.5,31.38,10.52,6.14,6.49
65,PS,PS,641.8224630368768,45.4,1336.3,0.4803,9.65,,1.96,17.36,6.14,6.49
66,Liberalismo,Liberalismo,311.25380413765424,100.0,651.8,0.4775,18.82,13.12,30.8,9.69,3.75,6.56
67,PJ,PJ,561.0854565861957,84.35,813.6,0.6896,34.49,39.51,21.49,44.98,3.3,6.52
67,UCR,Centroderecha,104.0994614207435,15.65,151.0,0.6896,41.58,49.4,43.3,35.94,3.3,6.52
68,UCR,Centroderecha,144.1930968354442,100.0,148.0,0.9741,42.85,50.82,44.42,37.3,5.7,6.54
69,Liberalismo,Liberalismo,1327.9965678582712,100.0,1385.4,0.9586,19.98,11.04,35.08,9.35,2.72,6.79
7,Liberalismo,Liberalismo,539.1810047840659,50.93,1966.4,0.2742,25.26,13.7,45.54,10.76,1.46,7.28
7,UCR,Centroderecha,519.5860449263969,49.07,1894.9,0.2742,60.32,72.68,58.72,55.74,1.46,7.28
70,Liberalismo,Liberalismo,80.2195249234957,6.27,79.2,1.0135,18.5,11.18,31.27,9.39,2.13,6.63
70,PS,PS,672.1916452678877,52.52,663.2,1.0135,11.57,,2.38,20.76,2.13,6.63
70,UCR,Centroderecha,527.3545347246865,41.21,520.3,1.0135,44.1,52.8,45.53,38.32,2.13,6.63
71,Liberalismo,Liberalismo,2057.2232835856157,93.6,2196.2,0.9367,19.73,11.4,34.4,9.22,2.4,6.77
71,PS,PS,140.743808297737,6.4,150.3,0.9367,11.55,,2.0,21.1,2.4,6.77
72,Liberalismo,Liberalismo,394.19553153800393,46.92,490.3,0.804,19.12,12.25,31.26,10.42,3.32,6.16
72,PS,PS,445.87629440351526,53.08,554.6,0.804,10.98,,2.26,19.69,3.32,6.16
73,Liberalismo,Liberalismo,552.5101490777665,55.85,397.3,1.3908,18.06,10.41,30.8,9.15,4.65,6.56
73,PS,PS,436.7593736612971,44.15,314.0,1.3908,11.21,,2.23,20.18,4.65,6.56
74,Liberalismo,Liberalismo,2056.1308527359292,75.37,2646.9,0.7768,20.44,11.34,35.77,9.66,1.62,6.91
74,UCR,Centroderecha,671.9731936137564,24.63,865.1,0.7768,49.85,60.14,50.67,43.87,1.62,6.91
75,Liberalismo,Liberalismo,578.4814023695949,34.17,670.9,0.8623,19.39,11.95,32.49,10.01,2.79,6.29
75,PJ,PJ,1114.52923429902,65.83,1292.5,0.8623,33.61,38.55,20.54,44.2,2.79,6.29
76,PJ,PJ,333.7024110322663,100.0,361.3,0.9237,34.37,38.79,21.35,45.18,2.24,6.33
78,UCR,Centroderecha,839.9631226321596,100.0,979.9,0.8572,38.81,44.58,41.93,32.81,3.76,5.53
79,PJ,PJ,118.3074857728002,100.0,119.9,0.9867,32.47,35.94,19.67,43.54,12.21,5.47
8,UCR,Centroderecha,1994.9365114381558,100.0,4100.6,0.4865,53.8,64.62,53.54,48.65,1.79,7.02
80,Liberalismo,Liberalismo,174.34422768748044,100.0,247.9,0.7033,20.03,11.93,33.67,10.44,4.71,6.23
81,Liberalismo,Liberalismo,530.5422030744954,100.0,976.2,0.5435,20.85,13.04,34.6,11.01,5.73,6.2
82,Liberalismo,Liberalismo,904.5597043327216,100.0,1407.7,0.6426,21.57,15.59,33.83,12.3,6.99,5.95
83,Liberalismo,Liberalismo,1703.8889113525242,100.0,2379.7,0.716,21.22,12.47,36.47,10.35,3.77,6.28
84,Liberalismo,Liberalismo,1902.1707344320948,68.95,1993.1,0.9544,20.94,14.57,33.16,11.91,4.02,5.82
84,PJ,PJ,666.848531989867,24.17,698.7,0.9544,35.72,40.16,21.93,47.29,4.02,5.82
84,UCR,Centroderecha,189.77436373170093,6.88,198.8,0.9544,40.79,48.34,43.38,34.42,4.02,5.82
85,Liberalismo,Liberalismo,1785.286334968862,89.43,3253.1,0.5488,20.61,12.78,34.2,10.93,1.69,6.36
85,PJ,PJ,210.99910562723986,10.57,384.5,0.5488,31.86,36.02,19.54,42.1,1.69,6.36
86,Liberalismo,Liberalismo,3008.300018780007,38.96,858.7,3.5035,24.65,24.06,32.18,17.41,9.2,4.63
86,PJ,PJ,3575.2384751914906,46.3,1020.5,3.5035,46.79,53.27,30.2,60.14,9.2,4.63
86,UCR,Centroderecha,1138.575424435728,14.74,325.0,3.5035,28.49,29.46,33.82,22.68,9.2,4.63
87,Liberalismo,Liberalismo,7020.139607686613,39.6,810.2,8.6647,21.25,19.95,27.8,15.34,9.72,3.92
87,PJ,PJ,7631.529417625819,43.05,880.8,8.6647,49.91,55.34,32.88,64.24,9.72,3.92
87,UCR,Centroderecha,3076.1859869137666,17.35,355.0,8.6647,27.81,29.7,33.67,21.01,9.72,3.92
88,UCR,Centroderecha,499.2349078595303,100.0,118.1,4.2262,40.5,46.64,44.36,33.56,4.0,4.91
89,Liberalismo,Liberalismo,277.0005429729508,5.63,61.2,4.5268,22.97,20.87,31.83,15.16,8.93,4.42
89,PJ,PJ,802.0607201466812,16.31,177.2,4.5268,43.4,47.86,27.62,56.96,8.93,4.42
89,UCR,Centroderecha,3837.7196421588233,78.05,847.8,4.5268,33.88,37.4,38.81,27.18,8.93,4.42
9,Liberalismo,Liberalismo,2937.414985492579,39.8,2478.6,1.1851,25.95,19.26,41.66,13.58,6.31,6.3
9,PJ,PJ,1188.9453961593922,16.11,1003.2,1.1851,27.98,28.09,16.04,39.85,6.31,6.3
9,UCR,Centroderecha,3253.9335250987397,44.09,2745.7,1.1851,49.4,59.17,50.46,43.46,6.31,6.3
90,Liberalismo,Liberalismo,673.4538971672391,8.53,141.1,4.7741,21.42,19.25,29.62,14.31,6.54,4.33
90,PJ,PJ,2258.8397766446456,28.6,473.1,4.7741,45.18,49.56,29.79,58.38,6.54,4.33
90,UCR,Centroderecha,4966.612531766503,62.88,1040.3,4.7741,32.73,36.89,37.6,25.78,6.54,4.33
91,Liberalismo,Liberalismo,1801.4765747223832,32.96,1613.5,1.1165,26.09,25.26,34.12,18.48,15.24,3.88
91,PJ,PJ,1485.610143021498,27.18,1330.6,1.1165,50.24,55.44,32.48,65.4,15.24,3.88
91,UCR,Centroderecha,2178.078747103458,39.85,1950.8,1.1165,25.46,27.38,31.18,18.78,15.24,3.88
92,Liberalismo,Liberalismo,2958.1094650803184,70.78,2388.1,1.2387,22.32,18.07,33.32,13.45,4.41,5.32
92,PJ,PJ,1113.838679008795,26.65,899.2,1.2387,37.15,41.69,22.87,49.16,4.41,5.32
92,UCR,Centroderecha,107.20867448432176,2.57,86.5,1.2387,38.67,44.3,42.05,32.48,4.41,5.32
93,Liberalismo,Liberalismo,2340.6108173776074,82.39,1652.3,1.4166,21.15,17.04,31.15,13.22,5.16,4.9
